idproducto,titulo,descripcion,fecha_inicio,fecha_termino,precio,imagen,vendidos,tags,,,,
11,"Paga $29 y obtén 40% de Descuento para ""MENTIRAS El Musical""","<h4>MENTIRAS EL MUSICAL

</h4><p>Como bien sabe todo mundo “recordar es volver a vivir”, por ello es que este musical permitirá a todo mundo revivir una de las décadas más coloridas y apasionadas, y le permitirá volverse a emocionar y cantar y reír con esta divertitrágica comedia musical.

</p>

<p>Un misterioso asesinato, un extrañísimo testamento, cuatro guapísimas y apasionadas mujeres, una desconcertante visitante, un confundido galán y una cascada de buen humor, son algunos de los elementos que se conjugan en <strong>Mentiras</strong>, un divertido musical armado como un gran popurrí, a partir de las canciones más exitosas del México de la década de los 80.

</p>

<p>Daniela, Lupita, Dulce, Yuri, Manoela y Emmanuel son los emblemáticos nombres de los protagonistas de este enredo musical, que materialmente transportará al público a aquellos años en que bailar en el News era la moda; aquella etapa en que los más grandes artistas triunfaban en El Patio; esa década en la que El maleficio y El camino secreto acaparaban el rating televisivo.</p>",2016-10-03 00:00:00,2016-10-08 23:59:00,75307,https://cuponassets.cuponatic-latam.com/backendMx/uploads/imagenes_descuentos/33390/c4a22b5b644b5b9cdc7345066ae970fbaf3fb626.full.png,89,"obra,teatro,mentira,musical",,,,
12,La india Yuridia ¡En Vivo! ,"<p>A pesar de “arremeter” contra el sexo masculino, su montaje está dirigido para que los hombres salgan del recinto con dolor de estómago causado por la risa excesiva.  “Es un show para todos, no molestamos a  nadie”.&nbsp;</p><p>El proceso creativo que contempla para crear un show, dijo que la clave es sentirse y pensar como espectador y no como artista: “No me gusta preparar algo, por eso mi intervención son pláticas que surgen en el momento. Los temas me los sugiere el público”. 

</p><p>¡Así que ven a divertirte con una comediante bastante novedosa!</p><br>",2016-10-03 00:00:00,2016-10-08 23:59:00,27000,https://cuponassets.cuponatic-latam.com/backendMx/uploads/imagenes_descuentos/33394/cab5dda10f4b6df17fb37db9cf95e2995e345005.full.png,48,"la india yuridia,teatro",,,,
13,Espectros ¡Terror a la Media Noche! 75%,"<p>El próximo estreno de su nueva puesta en escena, ocasiona que Ricardo y Cristina –en compañía de Marcela, joven actriz y amiga inseparable- regresen al teatro en el que tres años atrás Lucía, su hermana menor, fue asesinada.</p><p>

El cruel asesinato de Lucía en aquel balcón, fue el terrible acontecimiento que marcó la vida de estos personajes, y el aparente detonante de muy extrañas manifestaciones dentro del teatro. Manifestaciones de la cuales solamente Tomás –encargado del teatro-, había sido testigo. Las constantes apariciones de Fray Francisco Avendaño, un monje agustino del siglo XVI, cuya vida vio su fin en el suicidio, y las risitas de Lucía, su inolvidable melodía, y el último grito de terror, obligarán a Ricardo y Cristina a revivir el momento más amargo de su existencia, <br>

descubriendo trágicamente al responsable de la muerte de su hermana.<br></p>",2016-10-03 00:00:00,2016-10-13 23:59:00,75324,https://cuponassets.cuponatic-latam.com/backendMx/uploads/imagenes_descuentos/33384/2d66e8fc4a1c76ea7279beac8ca27ffb1ec70701.full.png,24,",espectros,teatro,obra",,,,
14,SORDO-MUDO-CIEGO ¡Un aterrador relato en total oscuridad!,"<p>Un aterrador relato en total oscuridad donde el espectador se verá obligado a prescindir de

 la vista para entregarse a sus demás sentidos, viviendo así las temibles experiencias de un poeta sordo, mudo, ciego y paralítico, que estará a punto de enfrentarse a sucesos verdaderamente extraños y de inminente tragedia.&nbsp;</p><p>Éste espectáculo, que cumple su cuarto año de éxito, forma parte del ciclo Teatro de

 Terror 2016 del Grupo Teatral “La Compañía”.</p>",2016-10-03 00:00:00,2016-10-14 23:59:00,98244,https://cuponassets.cuponatic-latam.com/backendMx/uploads/imagenes_descuentos/33386/316c339fb00ad07fd9e23b81098a6dcab3ca071d.full.png,18,"obra,teatro,terror,medianoce,condesa",,,,
15,Tour de la Sidra y Esferas ¡Vamos de Compras !,"<p>Chignahuapan es un Pueblo Mágico poblano que te enamora con un clima semifrío, con lluvias en verano y neblina en las partes más altas.</p><br><p>Zacatlán, en este pueblo frío y neblinoso que se asienta en el norte de Puebla es posible pasar día tranquilo, rico en experiencias. Lo primero que resalta al llegar es su bella parroquia, construida en el siglo XVIII.</p><br><p>¡Un paseo lleno de experiencias!</p>",2016-10-03 00:00:00,2016-10-16 23:59:00,98819,https://cuponassets.cuponatic-latam.com/backendMx/uploads/imagenes_descuentos/33385/f71e3a30176f4848618bd883276b2c6cec789859.full.jpg,37,"chignahuapan,zacatlan,fabrica de sidra,tour de esferas,tour 1 dia,guia,transporte redondo",,,,
16,Altavoz Portátil ¡Tu música favorita a donde vayas! 30%,"<p>Blusens Global Corporation es una multinacional española fundada en el 2002 que ha obtenido la certificación EQA 166.002 para la realización de proyectos de desarrollo e innovación tecnológica en el ámbito de la electrónica de consumo y de la conectividad dentro del hogar. Gracias a su competitividad, ya tiene presencia en más de 14.000 puntos de venta de las mayores cadenas de distribución en España, América y Oriente Medio.<br>

ALTAVOZ IDEAL<br>

Disfruta de tu música preferida donde quieras, con la facilidad, fiabilidad, y la mejor calidad del cable convencional. El Altavoz Portátil BEE:BLUU de Blusens es el dispositivo ideal para escuchar tus audios favoritos en el lugar y con las personas que quieres. Es un dispositivo de tamaño preciso y peso ligero que podrás movilizar cómodamente sin problemas.<br>

Su diseño único le hace agradable a la vista; lo que va muy bien con su capacidad de optimización de sonido a través de su funcionalidad contráctil. Saca mayor provecho de tus dispositivos, úsalo con tu MP3, MP4, tu teléfono móvil y cualquier otro dispositivo habilitado para hacerlo. Cárga su batería con facilidad a través de su puerto mini USB y conectalo al audio de tus dispositivos con su cable Jack o el apoyo de sus anexos. No dejes pasar esta oportunidad y llévalo contigo.<br></p>",2016-10-03 00:00:00,2016-10-23 23:59:00,93453,https://cuponassets.cuponatic-latam.com/backendMx/uploads/imagenes_descuentos/32984/dca405446359f3b21da6eb382ac97cfb27b8aec4.full.png,51,"Altavoz,Bocina",,,,
17,Faja Colombiana ¡CINTURILLA DE AVISPA! 60%,"<p>Esta nueva cinturilla es ideal para el uso en el gimnasio y durante las actividades de acondicionamiento físico ayuda a aliviar y prevenir dolores lumbares durante el entrenamiento, proporciona soporte preventivo y terapéutico para reducir riesgos en actividades físicas, su sierre es en velcro esta cinturilla también funciona como faja moldeadora quitándote hasta 2 tallas ESTA CINTRUILLA TAMBIEN ES CONOCIDA COMO CINTURILLA TIPO AVISPA YA QUE DA ESA APARENCIA A TU CUERPO elaborado en un material de alta tecnología transpirable y súper ligero llamado POWERNET el cual es lavable mirar recomendaciones de la prendas.</p><p>

Esta cinturilla es de fácil ajuste y se acomoda perfectamente en cualquier cintura al mismo tiempo que te brinda una figura mas estilizada. En el gimanacio es ideal para trabajos con pesas ya que te ayuda a tener mayor soporte lumbar esta construida con una varillas semifelixbles.<br></p><p></p>",2016-10-03 00:00:00,2016-10-23 23:59:00,81340,https://cuponassets.cuponatic-latam.com/backendMx/uploads/imagenes_descuentos/33187/d26d38c8131f3d01eb2e7b728002cd8378e9f261.full.png,46,"faja ,Térmica ,lipo shapers ,colombiana ,colombia ",,,,
18,Chaleco térmico Lipo Shaper para ÉL y ELLA  53%,"<p>Cuponatic te trae una oferta que no debes dejar pasar y que te permitirá tener el cuerpo que siempre has querido!</p>

<p>Chaleco diseñado para sudar más y bajar de peso.

</p>

<p>-El Chaleco Lipo Shapers es una prenda de uso diario, confeccionada en fibras inteligentes que aumentan la temperatura corporal naturalmente, ayudando a potencializar la sudoración con un mínimo esfuerzo, mejorando así los resultados de las rutinas de ejercicio y controlando las zonas del cuerpo que más nos preocupan.

</p>

<p>-Lipo Shapers puede ser utilizado durante los ejercicios y mientras realizas las actividades cotidianas.

</p>

<p>-Con Lipo &nbsp;Shapers maximizas las rutinas de ejercicios ayudando a reducir centímetros en cintura y abdomen, eliminas toxinas mediante la sudoración, quemas calorías y bajas de peso.

</p><p>¡ Vive y Sorpréndete !

</p><br><p></p>",2016-10-03 00:00:00,2016-10-23 23:59:00,89475,https://cuponassets.cuponatic-latam.com/backendMx/uploads/imagenes_descuentos/33189/774948e8d32cfeda782bd06e50dbd15f40c762e7.full.jpg,6,"Chaleco ,Lipo Shaper ,Chaleco Térmico ,Ejercicio ,Faja ",,,,
19,Faja Colombiana ¡LIPO SHAPERS! Reduce Medidas 57%,"<p><br></p><p></p><p>¿Cómo Funciona?</p><p>

El tejido inteligente Neotex en Lipo Shapers aumenta la temperatura central durante el ejercicio, deportes, caminar, correr, caminata del bebé, en el hogar o cualquier actividad física. Lipo Shapers puede ser usado mientras se activa independientemente de lo que esté haciendo, sólo hay que poner y sentir los resultados.<br></p><p></p>",2016-10-03 00:00:00,2016-10-23 23:59:00,68053,https://cuponassets.cuponatic-latam.com/backendMx/uploads/imagenes_descuentos/33190/1acece64b7cde82a2f9760da6dd25eef78e454a9.full.jpg,12,"faja ,Térmica ,lipo shapers ,colombiana ,colombia ",,,,
20,Tornadus Dryer  ¡Seca tu ropa sin problemas!,"<p>Compacta y eficaz, esta útil secadora de ropa posee un ligero pero potente motor que además de generar aire caliente, lo mantiene circulando para lograr un secado completo y rápido. No maltrata la ropa y a diferencia de las secadoras convencionales, no utiliza gas.<br></p><p>

Perfecta para espacios reducidos, también es liviana y fácil de armar. Su temporizador permite que usarla sea rápido y sencillo: una vez que ha terminado el tiempo designado, la secadora se apaga automáticamente, minimizando el riesgo de accidentes. Además, tiene la opción de mantenerla encendida por tiempo indefinido, sin usar los intervalos.<br>

Puede secar hasta 10 kilos de ropa y ayuda a disminuir las arrugas en las prendas, reduciendo el tiempo de planchado.<br>

</p>",2016-10-03 00:00:00,2016-10-23 23:59:00,62838,https://cuponassets.cuponatic-latam.com/backendMx/uploads/imagenes_descuentos/33204/d902309ebbc5780bee26bbbe395d731986b6f49d.full.jpg,68,"secadora ,hogar ,casa,ropa ,lavado ",,,,
